No.,VCC,M_V,M_Z,R_P,R_3D,L_z,M,N_GC,SN,SN_z,T,SL,SM,SN_z_blue,SN_z_red,T_blue,T_red,f_red,
73,21,-16.83,-17.38,1.58,,0.58,0.56 +- 0.37,20.7 +- 6.5,3.85 +- 1.21,2.32 +- 0.73,37.0 +- 27.2,0.67 +- 0.08,0.97 +- 0.65,2.32 +- 0.66,0.00 +- 0.30,37.0 +- 26.7,0.0 +- 4.8,0,
74,1488,-16.78,-17.34,0.88,,0.57,0.41 +- 0.38,7.3 +- 4.2,1.42 +- 0.82,0.85 +- 0.49,17.9 +- 19.5,0.03 +- 0.04,0.08 +- 0.12,0.84 +- 0.44,0.01 +- 0.22,17.7 +- 18.8,0.2 +- 4.6,0.01,
75,1779,-16.9,-17.38,0.89,,0.63,1.02 +- 0.38,2.1 +- 3.7,0.37 +- 0.64,0.23 +- 0.41,2.1 +- 3.7,-0.11 +- 0.05,-0.13 +- 0.08,0.23 +- 0.35,0.00 +- 0.22,2.1 +- 3.2,0.0 +- 2.0,0,
76,1895,-16.6,-17.29,1.16,1.47 +- 0.37,0.57,0.76 +- 0.39,6.3 +- 4.3,1.45 +- 0.99,0.76 +- 0.52,8.3 +- 7.2,0.07 +- 0.06,0.05 +- 0.07,0.65 +- 0.44,0.11 +- 0.27,7.1 +- 6.1,1.3 +- 3.1,0.14,
77,1499,-16.53,-16.95,0.22,,0.34,0.14 +- 0.19,19.0 +- 6.6,4.65 +- 1.62,3.14 +- 1.09,133.8 +- 185.1,0.98 +- 0.14,4.07 +- 5.47,2.67 +- 0.94,0.47 +- 0.55,113.7 +- 157.5,20.1 +- 35.7,0.15,
78,1545,-16.91,-17.74,0.26,0.30 +- 0.54,0.87,1.41 +- 0.42,54.2 +- 8.8,9.37 +- 1.52,4.34 +- 0.71,38.5 +- 13.0,1.02 +- 0.07,0.76 +- 0.23,3.91 +- 0.64,0.43 +- 0.29,34.6 +- 11.8,3.8 +- 2.8,0.1,
79,1192,-16.86,-18.14,1.27,,0.94,1.85 +- 0.62,-6 +- 13,-1.12 +- 2.42,-0.34 +- 0.74,-3.4 +- 7.3,-0.39 +- 0.05,-0.31 +- 0.11,-0.21 +- 0.61,-0.13 +- 0.45,-2.1 +- 5.9,-1.3 +- 4.4,0,
80,1857,-16.64,-17.32,0.9,,0.53,0.73 +- 0.14,10.8 +- 5.9,2.39 +- 1.31,1.28 +- 0.70,14.8 +- 8.6,0.32 +- 0.09,0.29 +- 0.12,0.78 +- 0.56,0.50 +- 0.42,9.1 +- 6.7,5.8 +- 5.0,0.39,
81,1075,-16.78,-17.55,0.63,0.87 +- 0.68,0.73,1.11 +- 0.47,16.5 +- 5.2,3.19 +- 1.01,1.58 +- 0.50,14.8 +- 7.8,0.33 +- 0.06,0.31 +- 0.14,1.58 +- 0.46,0.00 +- 0.18,14.8 +- 7.6,0.0 +- 1.7,0,
82,1948,-16.06,-16.78,0.99,,0.35,0.50 +- 0.09,2.5 +- 3.0,0.94 +- 1.13,0.48 +- 0.58,5.0 +- 6.1,-0.28 +- 0.17,-0.22 +- 0.12,0.48 +- 0.50,0.00 +- 0.29,5.0 +- 5.3,0.0 +- 3.0,0,
83,1627,-16.46,-17.39,0.34,2.19 +- 0.34,0.59,1.03 +- 0.32,3.6 +- 3.7,0.94 +- 0.97,0.40 +- 0.41,3.5 +- 3.8,1.21 +- 0.13,1.05 +- 0.34,0.40 +- 0.36,0.00 +- 0.21,3.5 +- 3.3,0.0 +- 1.8,0,
