NGVS+3+2.s.z,0.87,26,97,8.58E+00
NGVS+3+3.l.g,189,98,1301.3,3.95E-02
NGVS+3+3.l.i,69,112,1698,1.08E-01
NGVS+3+3.l.u,131,63,240.8,1.26E-01
NGVS+3+3.l.z,52,193,3563.3,2.00E-01
NGVS+3+3.s.g,3.59,13,25.6,2.09E+00
NGVS+3+3.s.z,0.88,26,95.4,8.51E+00
NGVS+3+4.l.g,189,98,1292.6,3.96E-02
NGVS+3+4.l.i,69,116,1798.4,1.07E-01
NGVS+3+4.l.u,122,60,224.7,1.35E-01
NGVS+3+4.l.z,52,202,3895.8,2.00E-01
NGVS+3+4.s.g,3.55,14,27.9,2.11E+00
NGVS+3+4.s.u,4.55,12,20.6,1.65E+00
NGVS+3+4.s.z,0.87,26,93.1,8.58E+00
NGVS+3+5.l.g,183,95,1210.7,4.08E-02
NGVS+3+5.l.i,67,118,1886.2,1.12E-01
NGVS+3+5.l.u,96,57,243.5,1.40E-01
NGVS+3+5.l.z,56,205,3523.3,2.14E-01
NGVS+3+5.s.g,3.52,12,20.6,2.13E+00
NGVS+3+5.s.z,0.91,24,80.6,8.22E+00
NGVS+3-1.l.g,195,98,1290.2,3.85E-02
NGVS+3-1.l.i,72,116,1808.4,1.04E-01
NGVS+3-1.l.r,112,148,2455,7.98E-02
NGVS+3-1.l.u,126,60,219.3,1.30E-01
NGVS+3-1.l.z,60,190,3014.8,1.97E-01
NGVS+3-1.s.g,3.49,15,30,2.15E+00
NGVS+3-1.s.i,1.35,19,50.3,5.55E+00
NGVS+3-1.s.u,5.03,11,16.4,1.49E+00
NGVS+3-1.s.z,0.89,25,85.6,8.42E+00
NGVS+3-2.l.g,192,93,1164,3.90E-02
NGVS+3-2.l.i,69,110,1613.7,1.08E-01
NGVS+3-2.l.u,118,65,259.2,1.40E-01
NGVS+3-2.l.z,60,201,3381.8,1.98E-01
NGVS+3-2.s.g,3.47,14,29.5,2.16E+00
NGVS+3-2.s.z,0.88,25,88.6,8.56E+00
NGVS+3-3.l.g,190,93,1170.4,3.94E-02
NGVS+3-3.l.i,68,115,1781.4,1.09E-01
